ticker,name,sector_osebx,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr,zip,sector_yahoo,fullTimeEmployees,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,industry,address2,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,state
2020,2020 Bulkers,Industrials,56.0,55.0,56.0,14,,1241.57,-0.0106,0.0182,-0.021,-0.3556,-0.2747,HM11,Industrials,4.0,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,441 542 9329,Bermuda,[],http://www.2020bulkers.com,1.0,S.E. Pearman Building,Marine Shipping,2nd Floor 9 Par-la-Ville Road,56.6,56.0,58.287769999999995,0.0029151945,2.2674,,56.8,,19805.0,,56.6,53.864704,0.165,56.0,,19805.0,,,,1.86,1581552000.0,1.07216,,,55.8,2.0,NOK,918.0328,3952.0,,,,1241570432.0,,,30677.0,73.46570600000001,55.8,56.0,,,3952.0,93.8,,,,39.0,55.0,False,0.032899998,,56.8,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000.0,EQUITY,2020.OL,finmb_544117951,no_market,,85.022,,0.07692,,-0.27898090000000003,,,,22170900.0,,,6.184,,,,1577750400.0,0.19871001,1300000.0,0.061,,0.08030069,9.055628,0.57717997,1640908800.0,1585612800.0,,,9024667.0,1436873216.0,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,,,,,,
FIVEPG,5th Planet Games,Communication services,1.61,1.61,1.63,995,LP,170.64,0.1801,0.1224,-0.0699,4.4947,1.3305,1123,Communication Services,16.0,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,,Denmark,[],http://www.5thplanetgames.com,1.0,Gothersgade 11,Electronic Gaming & Multimedia,,1.36,1.35,1.0682621,,0.0,,1.8,,587857.0,,1.36,1.9238362,,1.35,,587857.0,,,,,,2.6790689999999997,,,1.35,4.0,NOK,,4743710.0,,,,126263384.0,,,6872842.0,,1.35,1.63,,0.0,4743710.0,3.8,,,,0.25,1.6,False,,0.0,1.8,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000.0,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0.0,,0.5962440999999999,,,,77462200.0,,,0.174,,,,1577750400.0,0.0,,-0.11800000000000001,,0.08030069,9.367816,0.50402,1640908800.0,1577750400.0,,,41707742.0,73080976.0,,1511913600.0,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,,,,,,
AASB-ME,Aasen Sparebank,Equity certificates,110.0,108.0,112.0,0,LP,111.53,,,-0.0517,-0.08470000000000001,-0.0078,7630,Financial Services,,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Asen,47 74 08 63 00,Norway,[],http://aasen-sparebank.no,1.0,Stasjonsvegen 1,Banks—Regional,,110.0,110.0,121.86331000000001,0.07272727,1.0156,,110.0,,87.0,,110.0,114.17647,8.0,110.0,,87.0,,,,8.0,1583798400.0,0.401681,,,110.0,2.0,NOK,2.94275,100.0,,,,111530096.0,,,38.0,1.080718,110.0,136.0,,,100.0,153.0,,,,105.0,0.0,False,0.070199996,,110.0,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000.0,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,7.0329999999999995,,0.36725,,-0.07563025,,,,1013910.0,,,485.69199999999995,,,,1577750400.0,0.0,37900000.0,37.38,,0.08030069,0.22648099,0.0,1640908800.0,1585612800.0,,,553343.0,725802432.0,,,,,,-0.32799999999999996,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,47 74 08 63 01,,,,,
ASC,ABG Sundal Collier Holding,Financials,4.47,4.47,4.49,35,,1970.84,-0.0044,0.0067,0.0667,0.1907,0.3518,0250,Financial Services,275.0,"ABG Sundal Collier Holding ASA, together with its subsidiaries, provides investment banking, stock broking, and corporate advisory services in Norway, Sweden, Denmark, and internationally. It operates in two segments, Markets and Investment Banking. The Markets segment offers financial services, such as brokerage, trading and execution of equities, bonds, derivatives, structured products, and FX. The Investment Banking segment provides corporate advisory services, including ECM, DCM, mergers and acquisitions, and financial restructuring. The company also provides equity research, credit research, and corporate and strategic access services; and project finance services. ABG Sundal Collier Holding ASA was founded in 1984 and is headquartered in Oslo, Norway.",Oslo,47 22 01 60 00,Norway,[],http://www.abgsc.com,1.0,Munkedamsveien 45 East,Capital Markets,7th floor,4.5,4.5,3.7901800000000003,0.04888889,0.8062,,4.5,,340249.0,,4.5,4.2179413,0.22,4.5,,340249.0,,,,0.22,1588118400.0,0.98372,,,4.445,4.0,NOK,9.738562,62625.0,,,,1970836352.0,,,511907.0,1.3944433,4.445,4.49,,185000.0,62625.0,4.58,10.395349000000001,,10.49,2.69,4.47,False,0.048899997,340000.0,4.5,OSL,ABG SUN COL HLDG,ABG Sundal Collier Holding ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ASC.OL,finmb_2972520,no_market,,1.088,,0.17288,,0.25,,0.43,,440903008.0,,,1.493,,,,1577750400.0,0.19143,244343008.0,0.45899999999999996,,0.08030069,2.9939716,0.18238,1640908800.0,1593475200.0,,,348806080.0,1538378368.0,,,,,,0.22899999999999998,,,,,,,,https://logo.clearbit.com/abgsc.com,,,,,,
ADE,Adevinta,Communication services,115.0,115.0,,0,,78758.84,,,0.1741,0.1058,0.2778,0159,Communication Services,3564.0,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates independently of Schibsted ASA. as of April 9, 2019.",Oslo,47 23 10 66 00,Norway,[],http://www.adevinta.com,1.0,Grensen 5,Internet Content & Information,,115.0,115.5,100.29964,,0.0,,115.9,,324517.0,,115.0,101.32647,,115.5,,324517.0,,,,,,,,,111.3,2.0,NOK,,352491.0,,,,78758903808.0,,,304463.0,,111.3,0.0,,,352491.0,126.4,,,,66.7,114.7,False,,,115.9,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.27071822,,,,684860032.0,,,,,,,1577750400.0,0.20231001,,,,0.08030069,,0.66005,1640908800.0,1593475200.0,,,223708700.0,75324997632.0,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,,,,,,
ADSC-ME,ADS Crude Carriers,Energy,18.7,18.65,18.7,26,,437.4,-0.0027,0.0,-0.0532,-0.2315,0.1058,4532,Industrials,,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,357 2 5335501,Cyprus,[],http://www.adscrude.com,1.0,OSM House,Marine Shipping,22 Amathountos Agios Tychonas,18.75,18.75,23.404676000000002,,0.4088,,18.75,,18067.0,,18.75,19.845589,,18.75,,18067.0,,,,4.21,1591228800.0,,,,18.5,2.0,NOK,,27783.0,,,,437398624.0,,,176206.0,,18.5,18.7,,,27783.0,33.4,,,,16.1,18.65,False,0.2245,,18.75,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0.0,,-0.07178223,,,,23390300.0,,,,,,,,0.09734,,,,0.08030069,,0.0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,,,,,,
AEGA,Aega,Utilities,1.22,1.18,1.22,8,,58.62,-0.024,0.0252,0.0,0.0517,-0.039900000000000005,274,Utilities,2.0,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.aega.no,1.0,Thunes vei 2,Utilities—Renewable,,1.25,1.25,1.2194964,0.0032000002000000002,,,1.25,,53666.0,,1.25,1.1964706,0.004,1.25,,53666.0,,,,0.04,1591142400.0,-0.703488,,,1.16,4.0,NOK,,11615.0,,,,58621976.0,,,42789.0,,1.16,1.22,,394100.0,11615.0,1.62,,,,1.05,1.18,False,0.0339,60000.0,1.25,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0.0,,-0.18300653,,,,48050800.0,,,0.165,,,,1577750400.0,0.0,,-0.057999999999999996,,0.08030069,7.3939395,0.46798,1640908800.0,1585612800.0,,,24350240.0,60063540.0,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,,,,,,
AFG,AF Gruppen,Industrials,181.0,180.6,181.0,60,,19006.63,0.0,0.0033,0.0284,0.0666,0.1369,0663,Industrials,5526.0,"AF Gruppen ASA, a contracting and industrial company, engages in civil engineering, environment, building, property, energy, and offshore businesses primarily in Norway and Sweden. The company's Civil Engineering business area undertakes civil engineering and niche projects related to roads and railways, port facilities, airports, tunnels, foundation work, power, and energy, as well as onshore facilities for oil and gas. Its Energy and Environment business area provides smart and energy efficient services for buildings and industry; demolition services; and receiving, treating, and recycling of materials. The company's Building business area develops, engineers, and builds commercial, residential, and public buildings, as well as rehabilitation projects. Its Property business area develops residential units and commercial buildings. The Sweden business area engages in building, civil engineering, property, and environmental activities in Sweden. The company's offshore business area undertakes the removal, demolition, and recycling of offshore installations; and new building, modification, and maintenance works related to cranes, modules, and rig services, as well as heating, ventilation, air conditioning, and cooling systems. It also provides services related to the maintenance and modification of onshore facilities for the oil and gas industry. AF Gruppen ASA was founded in 1985 and is headquartered in Oslo, Norway.",Oslo,47 22 89 11 00,Norway,[],http://www.afgruppen.com,1.0,Innspurten 15,Engineering & Construction,,181.0,179.0,167.03238000000002,0.05248619,1.0266,,181.0,,26429.0,,181.0,176.3,9.5,179.0,,26429.0,,,,12.0,1589760000.0,0.43662700000000004,,,179.0,2.0,NOK,21.920795000000002,5021.0,,,,19006629888.0,,,21229.0,0.79333127,179.0,181.0,,178000.0,5021.0,185.0,21.573301,,5.42,124.5,180.6,False,0.066300005,52100.0,181.0,OSL,AF GRUPPEN,AF Gruppen ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AFG.OL,finmb_6174594,no_market,,0.828,,0.03506,15.242,0.07418394,,8.39,,105009000.0,,,22.213,,,,1577750400.0,0.14407,840000000.0,8.257,,0.08030069,8.148382000000002,0.60915,1640908800.0,1585612800.0,,,40215335.0,19845687296.0,,1263772800.0,5:1,,,-0.1,,,,,,,,https://logo.clearbit.com/afgruppen.com,,,,,,
AKA,Akastor,Energy,5.41,5.36,5.4,143,,1469.41,-0.016399999999999998,0.0404,0.0713,-0.4557,-0.5296,1366,Energy,2112.0,"Akastor ASA operates as an oil-services investment company worldwide. The company offers drilling equipment, drilling riser solutions, and related products and services for the drilling market; and vessel-based subsea well construction and intervention services to the oil and gas industry. It is also involved in waste management drilling activities; the provision of subsurface advice and products to E&P companies; and supplying vapor recovery units and systems. Akastor ASA was founded in 1841 and is based in BÃ¦rum, Norway.",Barum,47 21 52 58 00,Norway,[],http://akastor.com,1.0,Building B,Oil & Gas Equipment & Services,Oksenoyveien 10 Lysaker,5.5,5.5,6.004245,,0.0,,5.5,,761352.0,,5.5,4.992647,,5.5,,761352.0,,,,,1397174400.0,1.273837,,,5.25,2.0,NOK,,336689.0,,,,1469409920.0,,,432622.0,0.25947553,5.25,5.42,,52200.0,336689.0,12.4,13.525,,,3.52,5.38,False,,227000.0,5.5,OSL,AKASTOR ASA,Akastor ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKA.OL,finmb_874402,no_market,,0.6679999999999999,,-0.0498,12.157,-0.52006984,,0.4,,271609984.0,,,14.855,,,,1577750400.0,0.25563,-152000000.0,-0.981,,0.08030069,0.36418715,0.51141,1640908800.0,1593475200.0,,,136612714.0,3780857088.0,,1175212800.0,5:1,,,,,,,,,,,https://logo.clearbit.com/akastor.com,,,,,,
AKER,Aker,Financials,406.6,406.2,406.6,1487,,30197.56,-0.0249,0.0872,0.0825,-0.2519,-0.17629999999999998,1366,Energy,21865.0,"Aker ASA, an industrial investment company, operates in the oil and gas, maritime assets, and marine biotechnology sectors primarily in Norway and internationally. It operates through two segments, Industrial Holdings and Financial Investments. The company provides services, technologies, and product solutions for the oil and gas industry; provides engineering, procurement, and construction services for the offshore oil and gas, as well as renewable industries; and explores for and produces oil and gas on the Norwegian continental shelf. It also develops, manufactures, markets, and sells krill-based ingredients to the consumer health, aquaculture, and animal nutrition markets; and owns and charters vessels. The company was founded in 1841 and is headquartered in Lysaker, Norway. Aker ASA is a subsidiary of TRG Holding AS.",Lysaker,47 24 13 00 00,Norway,[],http://www.akerasa.com,1.0,Oksenoyveien 10,Oil & Gas Equipment & Services,,417.0,417.6,365.70358,0.053956832999999996,,,417.6,,189814.0,,417.0,357.81177,22.5,417.6,,189814.0,,,,,1595289600.0,1.701744,,,405.2,2.0,NOK,,116582.0,,,,30195255296.0,,,233332.0,0.640993,405.2,406.6,,111700.0,116582.0,566.0,15.489524,,4.6,182.2,406.2,False,,108400.0,417.6,OSL,AKER ASA,Aker ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKER.OL,finmb_12074458,no_market,,1.9080000000000001,,-0.08871,35.16,-0.14091468,,26.25,,74262800.0,,,251.43200000000002,,,,1577750400.0,0.19775999,-4124000000.0,-56.266000000000005,,0.08030069,1.6171371,0.70268,1640908800.0,1593475200.0,,,67703874.0,89868574720.0,,,,,,,,,,,,,,https://logo.clearbit.com/akerasa.com,47 24 13 01 01,,,,,
